V alpha_deg Tr h feas
4.500 2.00 78.7 35.427 1
4.500 2.00 88.5 45.254 1
4.500 2.00 98.3 55.081 1
4.500 2.00 108.2 64.909 1
4.500 2.00 118.0 74.736 1
4.500 3.00 0.0 -42.896 0
4.500 3.00 9.8 -33.076 0
4.500 3.00 19.7 -23.256 0
4.500 3.00 29.5 -13.436 0
4.500 3.00 39.3 -3.617 0
4.500 3.00 49.2 6.203 0
4.500 3.00 59.0 16.023 1
4.500 3.00 68.8 25.843 1
4.500 3.00 78.7 35.663 1
4.500 3.00 88.5 45.483 1
4.500 3.00 98.3 55.303 1
4.500 3.00 108.2 65.122 1
4.500 3.00 118.0 74.942 1
4.500 4.00 0.0 -42.600 0
4.500 4.00 9.8 -32.791 0
4.500 4.00 19.7 -22.981 0
4.500 4.00 29.5 -13.172 0
4.500 4.00 39.3 -3.363 0
4.500 4.00 49.2 6.447 0
4.500 4.00 59.0 16.256 0
4.500 4.00 68.8 26.066 1
4.500 4.00 78.7 35.875 1
4.500 4.00 88.5 45.684 1
4.500 4.00 98.3 55.494 1
4.500 4.00 108.2 65.303 1
4.500 4.00 118.0 75.113 1
4.500 5.00 0.0 -42.304 0
4.500 5.00 9.8 -32.508 0
4.500 5.00 19.7 -22.712 0
4.500 5.00 29.5 -12.916 0
4.500 5.00 39.3 -3.120 0
4.500 5.00 49.2 6.676 0
4.500 5.00 59.0 16.471 0
4.500 5.00 68.8 26.267 0
4.500 5.00 78.7 36.063 1
4.500 5.00 88.5 45.859 1
4.500 5.00 98.3 55.655 1
4.500 5.00 108.2 65.451 1
4.500 5.00 118.0 75.247 1
5.000 -10.00 0.0 -48.178 0
5.000 -10.00 9.8 -38.495 0
5.000 -10.00 19.7 -28.811 0
5.000 -10.00 29.5 -19.127 0
5.000 -10.00 39.3 -9.443 0
5.000 -10.00 49.2 0.241 0
5.000 -10.00 59.0 9.925 1
5.000 -10.00 68.8 19.609 1
5.000 -10.00 78.7 29.293 1
5.000 -10.00 88.5 38.977 1
5.000 -10.00 98.3 48.661 1
5.000 -10.00 108.2 58.345 1
5.000 -10.00 118.0 68.029 1
5.000 -9.00 0.0 -47.569 0
5.000 -9.00 9.8 -37.857 0
5.000 -9.00 19.7 -28.145 0
5.000 -9.00 29.5 -18.433 0
5.000 -9.00 39.3 -8.720 0
5.000 -9.00 49.2 0.992 0
5.000 -9.00 59.0 10.704 1
5.000 -9.00 68.8 20.416 1
5.000 -9.00 78.7 30.129 1
5.000 -9.00 88.5 39.841 1
5.000 -9.00 98.3 49.553 1
5.000 -9.00 108.2 59.265 1
5.000 -9.00 118.0 68.978 1
5.000 -8.00 0.0 -46.960 0
5.000 -8.00 9.8 -37.223 0
5.000 -8.00 19.7 -27.485 0
5.000 -8.00 29.5 -17.748 0
5.000 -8.00 39.3 -8.010 0
5.000 -8.00 49.2 1.728 0
5.000 -8.00 59.0 11.465 1
5.000 -8.00 68.8 21.203 1
5.000 -8.00 78.7 30.941 1
5.000 -8.00 88.5 40.678 1
5.000 -8.00 98.3 50.416 1
5.000 -8.00 108.2 60.154 1
5.000 -8.00 118.0 69.891 1
5.000 -7.00 0.0 -46.351 0
5.000 -7.00 9.8 -36.591 0
5.000 -7.00 19.7 -26.831 0
5.000 -7.00 29.5 -17.071 0
5.000 -7.00 39.3 -7.311 0
5.000 -7.00 49.2 2.449 0
5.000 -7.00 59.0 12.209 1
5.000 -7.00 68.8 21.969 1
5.000 -7.00 78.7 31.729 1
5.000 -7.00 88.5 41.489 1
5.000 -7.00 98.3 51.249 1
5.000 -7.00 108.2 61.009 1
5.000 -7.00 118.0 70.769 1
5.000 -6.00 0.0 -45.742 0
5.000 -6.00 9.8 -35.963 0
5.000 -6.00 19.7 -26.184 0
5.000 -6.00 29.5 -16.404 0
5.000 -6.00 39.3 -6.625 0
5.000 -6.00 49.2 3.155 0
5.000 -6.00 59.0 12.934 1
5.000 -6.00 68.8 22.714 1
5.000 -6.00 78.7 32.493 1
5.000 -6.00 88.5 42.273 1
5.000 -6.00 98.3 52.052 1
5.000 -6.00 108.2 61.832 1
5.000 -6.00 118.0 71.611 1
5.000 -5.00 0.0 -45.133 0
5.000 -5.00 9.8 -35.338 0
5.000 -5.00 19.7 -25.542 0
5.000 -5.00 29.5 -15.746 0
5.000 -5.00 39.3 -5.950 0
5.000 -5.00 49.2 3.846 0
5.000 -5.00 59.0 13.642 1
5.000 -5.00 68.8 23.438 1
5.000 -5.00 78.7 33.234 1
5.000 -5.00 88.5 43.030 1
5.000 -5.00 98.3 52.826 1
5.000 -5.00 108.2 62.622 1
5.000 -5.00 118.0 72.418 1
5.000 -4.00 0.0 -44.524 0
5.000 -4.00 9.8 -34.715 0
5.000 -4.00 19.7 -24.906 0
5.000 -4.00 29.5 -15.096 0
5.000 -4.00 39.3 -5.287 0
5.000 -4.00 49.2 4.522 0
5.000 -4.00 59.0 14.332 1
5.000 -4.00 68.8 24.141 1
5.000 -4.00 78.7 33.951 1
5.000 -4.00 88.5 43.760 1
5.000 -4.00 98.3 53.569 1
5.000 -4.00 108.2 63.379 1
5.000 -4.00 118.0 73.188 1
5.000 -3.00 0.0 -43.915 0
5.000 -3.00 9.8 -34.096 0
5.000 -3.00 19.7 -24.276 0
5.000 -3.00 29.5 -14.456 0
5.000 -3.00 39.3 -4.636 0
5.000 -3.00 49.2 5.184 1
5.000 -3.00 59.0 15.004 1
5.000 -3.00 68.8 24.824 1
5.000 -3.00 78.7 34.643 1
5.000 -3.00 88.5 44.463 1
5.000 -3.00 98.3 54.283 1
5.000 -3.00 108.2 64.103 1
5.000 -3.00 118.0 73.923 1
5.000 -2.00 0.0 -43.306 0
5.000 -2.00 9.8 -33.479 0
5.000 -2.00 19.7 -23.652 0
5.000 -2.00 29.5 -13.824 0
5.000 -2.00 39.3 -3.997 0
5.000 -2.00 49.2 5.830 1
5.000 -2.00 59.0 15.658 1
5.000 -2.00 68.8 25.485 1
5.000 -2.00 78.7 35.312 1
5.000 -2.00 88.5 45.140 1
5.000 -2.00 98.3 54.967 1
5.000 -2.00 108.2 64.794 1
5.000 -2.00 118.0 74.622 1
5.000 -1.00 0.0 -42.697 0
5.000 -1.00 9.8 -32.866 0
5.000 -1.00 19.7 -23.034 0
5.000 -1.00 29.5 -13.202 0
5.000 -1.00 39.3 -3.370 0
5.000 -1.00 49.2 6.462 1
5.000 -1.00 59.0 16.294 1
5.000 -1.00 68.8 26.125 1
5.000 -1.00 78.7 35.957 1
5.000 -1.00 88.5 45.789 1
5.000 -1.00 98.3 55.621 1
5.000 -1.00 108.2 65.453 1
5.000 -1.00 118.0 75.285 1
5.000 0.00 0.0 -42.088 0
5.000 0.00 9.8 -32.255 0
5.000 0.00 19.7 -22.422 0
5.000 0.00 29.5 -12.588 0
5.000 0.00 39.3 -2.755 0
5.000 0.00 49.2 7.078 1
5.000 0.00 59.0 16.912 1
5.000 0.00 68.8 26.745 1
5.000 0.00 78.7 36.578 1
5.000 0.00 88.5 46.412 1
5.000 0.00 98.3 56.245 1
5.000 0.00 108.2 66.078 1
5.000 0.00 118.0 75.912 1
5.000 1.00 0.0 -41.723 0
5.000 1.00 9.8 -31.891 0
5.000 1.00 19.7 -22.059 0
5.000 1.00 29.5 -12.228 0
5.000 1.00 39.3 -2.396 0
5.000 1.00 49.2 7.436 1
5.000 1.00 59.0 17.268 1
5.000 1.00 68.8 27.100 1
5.000 1.00 78.7 36.932 1
5.000 1.00 88.5 46.763 1
5.000 1.00 98.3 56.595 1
5.000 1.00 108.2 66.427 1
5.000 1.00 118.0 76.259 1
5.000 2.00 0.0 -41.358 0
5.000 2.00 9.8 -31.530 0
5.000 2.00 19.7 -21.703 0
5.000 2.00 29.5 -11.876 0
5.000 2.00 39.3 -2.048 0
5.000 2.00 49.2 7.779 0
5.000 2.00 59.0 17.606 1
5.000 2.00 68.8 27.434 1
5.000 2.00 78.7 37.261 1
5.000 2.00 88.5 47.088 1
5.000 2.00 98.3 56.916 1
5.000 2.00 108.2 66.743 1
5.000 2.00 118.0 76.570 1
5.000 3.00 0.0 -40.992 0
5.000 3.00 9.8 -31.172 0
5.000 3.00 19.7 -21.353 0
5.000 3.00 29.5 -11.533 0
5.000 3.00 39.3 -1.713 0
5.000 3.00 49.2 8.107 0
5.000 3.00 59.0 17.927 1
5.000 3.00 68.8 27.747 1
5.000 3.00 78.7 37.567 1
5.000 3.00 88.5 47.386 1
5.000 3.00 98.3 57.206 1
5.000 3.00 108.2 67.026 1
5.000 3.00 118.0 76.846 1
5.000 4.00 0.0 -40.627 0
5.000 4.00 9.8 -30.817 0
5.000 4.00 19.7 -21.008 0
5.000 4.00 29.5 -11.199 0
5.000 4.00 39.3 -1.389 0
5.000 4.00 49.2 8.420 0
5.000 4.00 59.0 18.229 1
5.000 4.00 68.8 28.039 1
5.000 4.00 78.7 37.848 1
5.000 4.00 88.5 47.658 1
5.000 4.00 98.3 57.467 1
5.000 4.00 108.2 67.276 1
5.000 4.00 118.0 77.086 1
5.000 5.00 0.0 -40.261 0
5.000 5.00 9.8 -30.466 0
5.000 5.00 19.7 -20.670 0
5.000 5.00 29.5 -10.874 0
5.000 5.00 39.3 -1.078 0
5.000 5.00 49.2 8.718 0
5.000 5.00 59.0 18.514 0
5.000 5.00 68.8 28.310 1
5.000 5.00 78.7 38.106 1
5.000 5.00 88.5 47.902 1
5.000 5.00 98.3 57.698 1
5.000 5.00 108.2 67.494 1
5.000 5.00 118.0 77.290 1
5.500 -10.00 0.0 -47.583 0
5.500 -10.00 9.8 -37.899 0
5.500 -10.00 19.7 -28.216 0
5.500 -10.00 29.5 -18.532 0
5.500 -10.00 39.3 -8.848 0
5.500 -10.00 49.2 0.836 0
5.500 -10.00 59.0 10.520 1
5.500 -10.00 68.8 20.204 1
5.500 -10.00 78.7 29.888 1
5.500 -10.00 88.5 39.572 1
5.500 -10.00 98.3 49.256 1
5.500 -10.00 108.2 58.940 1
5.500 -10.00 118.0 68.624 1
5.500 -9.00 0.0 -46.847 0
5.500 -9.00 9.8 -37.134 0
5.500 -9.00 19.7 -27.422 0
5.500 -9.00 29.5 -17.710 0
5.500 -9.00 39.3 -7.997 0
5.500 -9.00 49.2 1.715 0
5.500 -9.00 59.0 11.427 1
5.500 -9.00 68.8 21.139 1
5.500 -9.00 78.7 30.852 1
5.500 -9.00 88.5 40.564 1
5.500 -9.00 98.3 50.276 1
5.500 -9.00 108.2 59.988 1
5.500 -9.00 118.0 69.701 1
5.500 -8.00 0.0 -46.110 0
5.500 -8.00 9.8 -36.372 0
5.500 -8.00 19.7 -26.634 0
5.500 -8.00 29.5 -16.897 0
5.500 -8.00 39.3 -7.159 0
5.500 -8.00 49.2 2.579 0
5.500 -8.00 59.0 12.316 1
5.500 -8.00 68.8 22.054 1
5.500 -8.00 78.7 31.791 1
5.500 -8.00 88.5 41.529 1
5.500 -8.00 98.3 51.267 1
5.500 -8.00 108.2 61.004 1
5.500 -8.00 118.0 70.742 1
5.500 -7.00 0.0 -45.373 0
5.500 -7.00 9.8 -35.613 0
5.500 -7.00 19.7 -25.853 0
5.500 -7.00 29.5 -16.093 0
5.500 -7.00 39.3 -6.333 0
5.500 -7.00 49.2 3.427 0
5.500 -7.00 59.0 13.187 1
5.500 -7.00 68.8 22.948 1
5.500 -7.00 78.7 32.708 1
5.500 -7.00 88.5 42.468 1
5.500 -7.00 98.3 52.228 1
5.500 -7.00 108.2 61.988 1
5.500 -7.00 118.0 71.748 1
5.500 -6.00 0.0 -44.636 0
5.500 -6.00 9.8 -34.856 0
5.500 -6.00 19.7 -25.077 0
5.500 -6.00 29.5 -15.297 0
5.500 -6.00 39.3 -5.518 0
5.500 -6.00 49.2 4.261 0
5.500 -6.00 59.0 14.041 1
5.500 -6.00 68.8 23.820 1
5.500 -6.00 78.7 33.600 1
5.500 -6.00 88.5 43.379 1
5.500 -6.00 98.3 53.159 1
5.500 -6.00 108.2 62.938 1
5.500 -6.00 118.0 72.718 1
5.500 -5.00 0.0 -43.899 0
5.500 -5.00 9.8 -34.103 0
5.500 -5.00 19.7 -24.307 0
5.500 -5.00 29.5 -14.511 0
5.500 -5.00 39.3 -4.715 0
5.500 -5.00 49.2 5.081 1
5.500 -5.00 59.0 14.877 1
5.500 -5.00 68.8 24.672 1
5.500 -5.00 78.7 34.468 1
5.500 -5.00 88.5 44.264 1
5.500 -5.00 98.3 54.060 1
5.500 -5.00 108.2 63.856 1
5.500 -5.00 118.0 73.652 1
5.500 -4.00 0.0 -43.162 0
5.500 -4.00 9.8 -33.353 0
5.500 -4.00 19.7 -23.543 0
5.500 -4.00 29.5 -13.734 0
5.500 -4.00 39.3 -3.925 0
5.500 -4.00 49.2 5.885 1
5.500 -4.00 59.0 15.694 1
5.500 -4.00 68.8 25.504 1
5.500 -4.00 78.7 35.313 1
5.500 -4.00 88.5 45.122 1
5.500 -4.00 98.3 54.932 1
5.500 -4.00 108.2 64.741 1
5.500 -4.00 118.0 74.550 1
5.500 -3.00 0.0 -42.425 0
5.500 -3.00 9.8 -32.605 0
5.500 -3.00 19.7 -22.785 0
5.500 -3.00 29.5 -12.966 0
5.500 -3.00 39.3 -3.146 0
5.500 -3.00 49.2 6.674 1
5.500 -3.00 59.0 16.494 1
5.500 -3.00 68.8 26.314 1
5.500 -3.00 78.7 36.134 1
5.500 -3.00 88.5 45.954 1
5.500 -3.00 98.3 55.773 1
5.500 -3.00 108.2 65.593 1
5.500 -3.00 118.0 75.413 1
5.500 -2.00 0.0 -41.688 0
5.500 -2.00 9.8 -31.861 0
5.500 -2.00 19.7 -22.034 0
5.500 -2.00 29.5 -12.206 0
5.500 -2.00 39.3 -2.379 0
5.500 -2.00 49.2 7.448 1
5.500 -2.00 59.0 17.276 1
5.500 -2.00 68.8 27.103 1
5.500 -2.00 78.7 36.930 1
5.500 -2.00 88.5 46.758 1
5.500 -2.00 98.3 56.585 1
5.500 -2.00 108.2 66.412 1
5.500 -2.00 118.0 76.240 1
5.500 -1.00 0.0 -40.951 0
5.500 -1.00 9.8 -31.120 0
5.500 -1.00 19.7 -21.288 0
5.500 -1.00 29.5 -11.456 0
5.500 -1.00 39.3 -1.624 0
5.500 -1.00 49.2 8.208 1
5.500 -1.00 59.0 18.040 1
5.500 -1.00 68.8 27.871 1
5.500 -1.00 78.7 37.703 1
5.500 -1.00 88.5 47.535 1
5.500 -1.00 98.3 57.367 1
5.500 -1.00 108.2 67.199 1
5.500 -1.00 118.0 77.031 1
5.500 0.00 0.0 -40.215 0
5.500 0.00 9.8 -30.381 0
5.500 0.00 19.7 -20.548 0
5.500 0.00 29.5 -10.715 0
5.500 0.00 39.3 -0.881 0
5.500 0.00 49.2 8.952 1
5.500 0.00 59.0 18.785 1
5.500 0.00 68.8 28.619 1
5.500 0.00 78.7 38.452 1
5.500 0.00 88.5 48.285 1
5.500 0.00 98.3 58.119 1
5.500 0.00 108.2 67.952 1
5.500 0.00 118.0 77.785 1
5.500 1.00 0.0 -39.772 0
5.500 1.00 9.8 -29.941 0
5.500 1.00 19.7 -20.109 0
5.500 1.00 29.5 -10.277 0
5.500 1.00 39.3 -0.445 0
5.500 1.00 49.2 9.387 1
5.500 1.00 59.0 19.219 1
5.500 1.00 68.8 29.050 1
5.500 1.00 78.7 38.882 1
5.500 1.00 88.5 48.714 1
5.500 1.00 98.3 58.546 1
5.500 1.00 108.2 68.378 1
5.500 1.00 118.0 78.210 1
5.500 2.00 0.0 -39.330 0
5.500 2.00 9.8 -29.503 0
5.500 2.00 19.7 -19.676 0
5.500 2.00 29.5 -9.848 0
5.500 2.00 39.3 -0.021 0
5.500 2.00 49.2 9.806 1
5.500 2.00 59.0 19.634 1
5.500 2.00 68.8 29.461 1
5.500 2.00 78.7 39.288 1
5.500 2.00 88.5 49.116 1
5.500 2.00 98.3 58.943 1
5.500 2.00 108.2 68.771 1
5.500 2.00 118.0 78.598 1
5.500 3.00 0.0 -38.888 0
5.500 3.00 9.8 -29.068 0
5.500 3.00 19.7 -19.248 0
5.500 3.00 29.5 -9.429 0
5.500 3.00 39.3 0.391 0
5.500 3.00 49.2 10.211 0
5.500 3.00 59.0 20.031 1
5.500 3.00 68.8 29.851 1
5.500 3.00 78.7 39.671 1
5.500 3.00 88.5 49.491 1
5.500 3.00 98.3 59.310 1
5.500 3.00 108.2 69.130 1
5.500 3.00 118.0 78.950 1
5.500 4.00 0.0 -38.446 0
5.500 4.00 9.8 -28.637 0
5.500 4.00 19.7 -18.827 0
5.500 4.00 29.5 -9.018 0
5.500 4.00 39.3 0.792 0
5.500 4.00 49.2 10.601 0
5.500 4.00 59.0 20.410 1
5.500 4.00 68.8 30.220 1
5.500 4.00 78.7 40.029 1
5.500 4.00 88.5 49.838 1
5.500 4.00 98.3 59.648 1
5.500 4.00 108.2 69.457 1
5.500 4.00 118.0 79.267 1
5.500 5.00 0.0 -38.004 0
5.500 5.00 9.8 -28.208 0
5.500 5.00 19.7 -18.412 0
5.500 5.00 29.5 -8.616 0
5.500 5.00 39.3 1.180 0
5.500 5.00 49.2 10.976 0
5.500 5.00 59.0 20.772 0
5.500 5.00 68.8 30.568 1
5.500 5.00 78.7 40.363 1
5.500 5.00 88.5 50.159 1
5.500 5.00 98.3 59.955 1
5.500 5.00 108.2 69.751 1
5.500 5.00 118.0 79.547 1
6.000 -10.00 0.0 -46.932 0
6.000 -10.00 9.8 -37.248 0
6.000 -10.00 19.7 -27.564 0
6.000 -10.00 29.5 -17.880 0
6.000 -10.00 39.3 -8.196 0
6.000 -10.00 49.2 1.488 0
6.000 -10.00 59.0 11.172 1
6.000 -10.00 68.8 20.856 1
6.000 -10.00 78.7 30.540 1
6.000 -10.00 88.5 40.224 1
6.000 -10.00 98.3 49.908 1
6.000 -10.00 108.2 59.592 1
6.000 -10.00 118.0 69.276 1
6.000 -9.00 0.0 -46.055 0
6.000 -9.00 9.8 -36.342 0
6.000 -9.00 19.7 -26.630 0
6.000 -9.00 29.5 -16.918 0
6.000 -9.00 39.3 -7.206 0
6.000 -9.00 49.2 2.507 0
6.000 -9.00 59.0 12.219 1
6.000 -9.00 68.8 21.931 1
6.000 -9.00 78.7 31.643 1
6.000 -9.00 88.5 41.356 1
6.000 -9.00 98.3 51.068 1
6.000 -9.00 108.2 60.780 1
6.000 -9.00 118.0 70.492 1
6.000 -8.00 0.0 -45.178 0
6.000 -8.00 9.8 -35.440 0
6.000 -8.00 19.7 -25.703 0
6.000 -8.00 29.5 -15.965 0
6.000 -8.00 39.3 -6.227 0
6.000 -8.00 49.2 3.510 0
6.000 -8.00 59.0 13.248 1
6.000 -8.00 68.8 22.986 1
6.000 -8.00 78.7 32.723 1
6.000 -8.00 88.5 42.461 1
6.000 -8.00 98.3 52.199 1
6.000 -8.00 108.2 61.936 1
6.000 -8.00 118.0 71.674 1
6.000 -7.00 0.0 -44.301 0
6.000 -7.00 9.8 -34.541 0
6.000 -7.00 19.7 -24.781 0
6.000 -7.00 29.5 -15.021 0
6.000 -7.00 39.3 -5.261 0
6.000 -7.00 49.2 4.499 1
6.000 -7.00 59.0 14.259 1
6.000 -7.00 68.8 24.019 1
6.000 -7.00 78.7 33.779 1
6.000 -7.00 88.5 43.539 1
6.000 -7.00 98.3 53.300 1
6.000 -7.00 108.2 63.060 1
6.000 -7.00 118.0 72.820 1
6.000 -6.00 0.0 -43.424 0
6.000 -6.00 9.8 -33.644 0
6.000 -6.00 19.7 -23.865 0
6.000 -6.00 29.5 -14.085 0
6.000 -6.00 39.3 -4.306 0
6.000 -6.00 49.2 5.473 1
6.000 -6.00 59.0 15.253 1
6.000 -6.00 68.8 25.032 1
6.000 -6.00 78.7 34.812 1
6.000 -6.00 88.5 44.591 1
6.000 -6.00 98.3 54.371 1
6.000 -6.00 108.2 64.150 1
6.000 -6.00 118.0 73.930 1
6.000 -5.00 0.0 -42.547 0
6.000 -5.00 9.8 -32.751 0
6.000 -5.00 19.7 -22.955 0
6.000 -5.00 29.5 -13.159 0
6.000 -5.00 39.3 -3.363 0
6.000 -5.00 49.2 6.433 1
6.000 -5.00 59.0 16.229 1
6.000 -5.00 68.8 26.024 1
6.000 -5.00 78.7 35.820 1
6.000 -5.00 88.5 45.616 1
6.000 -5.00 98.3 55.412 1
6.000 -5.00 108.2 65.208 1
6.000 -5.00 118.0 75.004 1
6.000 -4.00 0.0 -41.670 0
6.000 -4.00 9.8 -31.861 0
6.000 -4.00 19.7 -22.051 0
6.000 -4.00 29.5 -12.242 0
6.000 -4.00 39.3 -2.432 0
6.000 -4.00 49.2 7.377 1
6.000 -4.00 59.0 17.186 1
6.000 -4.00 68.8 26.996 1
6.000 -4.00 78.7 36.805 1
6.000 -4.00 88.5 46.614 1
6.000 -4.00 98.3 56.424 1
6.000 -4.00 108.2 66.233 1
6.000 -4.00 118.0 76.043 1
6.000 -3.00 0.0 -40.793 0
6.000 -3.00 9.8 -30.973 0
6.000 -3.00 19.7 -21.153 0
6.000 -3.00 29.5 -11.333 0
6.000 -3.00 39.3 -1.514 0
6.000 -3.00 49.2 8.306 1
6.000 -3.00 59.0 18.126 1
6.000 -3.00 68.8 27.946 1
6.000 -3.00 78.7 37.766 1
6.000 -3.00 88.5 47.586 1
6.000 -3.00 98.3 57.406 1
6.000 -3.00 108.2 67.225 1
6.000 -3.00 118.0 77.045 1
6.000 -2.00 0.0 -39.916 0
6.000 -2.00 9.8 -30.089 0
6.000 -2.00 19.7 -20.261 0
6.000 -2.00 29.5 -10.434 0
