param truth est truth_n est_n
CLa 3.21673 3.14417 0.1220 -0.0592
CLa 3.37713 3.18541 0.3275 0.6483
CLa 3.70909 3.19273 0.7529 0.7740
CLa 3.40804 3.16841 0.3671 0.3568
CLa 3.19527 3.15182 0.0945 0.0721
CLa 3.21906 3.16722 0.1249 0.3363
CLa 3.38124 3.17719 0.3328 0.5073
CLa 2.84673 3.17318 -0.3522 0.4385
CLa 3.38601 3.17472 0.3389 0.4650
CLa 3.30106 3.20075 0.2300 0.9116
CD0 0.15833 0.13941 0.5718 1.5196
CD0 0.13143 0.13601 -0.0395 0.2283
CD0 0.09155 0.13018 -0.9460 -1.9805
CD0 0.13642 0.13493 0.0738 -0.1812
CD0 0.16465 0.13569 0.7154 0.1083
CD0 0.14549 0.13704 0.2800 0.6213
CD0 0.14580 0.13527 0.2869 -0.0531
CD0 0.12358 0.13660 -0.2181 0.4522
CD0 0.12055 0.13184 -0.2869 -1.3538
CD0 0.15244 0.13777 0.4378 0.8964
CD0 0.09602 0.13252 -0.8444 -1.0935
CD0 0.16542 0.13653 0.7329 0.4276
CD0 0.16629 0.13554 0.7526 0.0497
CD0 0.17387 0.13694 0.9249 0.5820
CD0 0.10111 0.13180 -0.7286 -1.3690
CD0 0.09932 0.13759 -0.7692 0.8279
CD0 0.16785 0.13844 0.7880 1.1514
CD0 0.12447 0.13648 -0.1977 0.4070
CD0 0.11296 0.13240 -0.4593 -1.1414
CD0 0.12281 0.13670 -0.2356 0.4917
CD0 0.14721 0.13967 0.3190 1.6196
CD0 0.10338 0.13369 -0.6770 -0.6514
CD0 0.13204 0.13745 -0.0257 0.7741
CD0 0.14726 0.13882 0.3201 1.2942
CD0 0.15260 0.13587 0.4415 0.1766
CD0 0.09025 0.13083 -0.9755 -1.7358
CD0 0.16053 0.13708 0.6218 0.6363
CD0 0.12738 0.13279 -0.1316 -0.9927
CD0 0.12752 0.13618 -0.1284 0.2956
CD0 0.13866 0.13567 0.1247 0.1003
CD0 0.11382 0.13329 -0.4397 -0.8027
CD0 0.16720 0.13967 0.7734 1.6188
CD0 0.10784 0.13169 -0.5757 -1.4078
CD0 0.13693 0.13607 0.0854 0.2530
CD0 0.10396 0.13282 -0.6639 -0.9813
CD0 0.14339 0.13387 0.2322 -0.5838
CD0 0.16854 0.13954 0.8038 1.5702
