it n time energy barrier aux reached lf_min al_max
184 152 7.1918 0.4011 4.7388 0.6938 0.353 0.750 3.48
185 152 7.1821 0.4098 5.1138 0.6337 0.369 0.624 5.28
186 153 7.3081 0.4259 4.7883 0.6454 0.372 0.597 5.57
187 153 7.2872 0.4032 4.7941 0.6165 0.409 0.654 3.42
188 154 7.4577 0.3872 5.2804 0.6166 0.419 0.533 5.60
189 154 7.3918 0.3800 5.3944 0.6440 0.422 0.624 11.80
190 155 7.4695 0.3875 5.4581 0.6335 0.438 0.541 14.02
191 155 7.4236 0.3924 5.2269 0.6424 0.428 0.666 5.72
192 156 7.6354 0.3913 5.2970 0.6802 0.406 0.706 4.58
193 156 7.5230 0.4031 5.3049 0.6282 0.403 0.667 4.87
194 157 7.5127 0.4149 5.1212 0.6509 0.413 0.756 5.36
195 157 7.4994 0.4159 5.2587 0.6616 0.397 0.756 3.58
196 158 7.6669 0.4233 5.5128 0.6724 0.384 0.696 2.87
197 158 7.7455 0.4128 5.7281 0.6568 0.341 0.758 2.82
198 159 7.7564 0.4032 5.1695 0.6020 0.319 0.562 4.59
199 159 7.6625 0.4031 5.2193 0.6201 0.319 0.675 7.57
200 160 7.7476 0.3947 4.9342 0.6648 0.322 0.542 3.46
201 160 7.8331 0.3814 5.0804 0.6709 0.316 0.740 4.46
202 161 7.8864 0.3954 5.0575 0.6529 0.319 0.695 4.13
203 161 7.8110 0.4003 5.1132 0.6058 0.309 0.600 2.74
204 162 7.9408 0.4015 5.2768 0.6650 0.291 0.644 6.55
205 162 7.7535 0.4043 5.0571 0.7155 0.297 0.559 3.19
206 163 8.1157 0.4225 4.8328 0.7114 0.266 0.746 5.88
207 163 7.7693 0.4135 4.7319 0.6508 0.284 0.686 9.77
208 164 8.0776 0.4147 4.7924 0.6821 0.281 0.772 3.54
209 164 8.0290 0.4231 4.6826 0.6515 0.272 0.682 3.94
210 165 8.0077 0.4187 5.2194 0.7169 0.278 0.646 5.41
211 165 8.1282 0.4023 5.3221 0.6768 0.278 0.689 3.86
212 166 7.8788 0.4024 5.7620 0.7147 0.294 0.666 4.09
213 166 8.1810 0.4054 5.6070 0.6578 0.284 0.645 6.47
214 167 8.1476 0.4077 5.5037 0.7162 0.288 0.663 4.18
215 167 8.0711 0.4103 5.9251 0.6978 0.275 0.739 4.07
216 168 8.1283 0.4059 6.0796 0.6465 0.294 0.761 5.20
217 168 8.2411 0.4146 6.3741 0.6613 0.281 0.727 3.56
218 169 8.2401 0.3946 6.1441 0.6520 0.284 0.682 4.93
219 169 8.1755 0.3940 6.1733 0.6811 0.288 0.692 8.57
220 170 8.2500 0.4025 6.0046 0.6737 0.272 0.570 4.57
221 170 8.1773 0.3875 6.1050 0.6303 0.281 0.729 10.07
222 171 8.1858 0.3977 5.5905 0.7140 0.269 0.740 5.91
