it n time energy barrier aux reached lf_min al_max
145 132 6.5150 0.8249 8.2449 0.5610 0.213 0.614 5.85
146 133 6.4497 0.7487 7.6268 0.5630 0.228 0.581 3.73
147 133 6.5112 0.7673 7.5813 0.5348 0.225 0.628 14.97
148 134 6.4372 0.7575 8.1384 0.5558 0.231 0.594 9.47
149 134 6.3739 0.7420 7.8695 0.5882 0.231 0.632 13.22
150 135 6.5819 0.7877 8.0402 0.5978 0.247 0.463 14.36
151 135 6.5480 0.8120 7.6191 0.5913 0.244 0.578 3.94
152 136 6.6352 0.7498 7.4274 0.5410 0.244 0.541 13.94
153 136 6.7269 0.8532 7.0697 0.5942 0.244 0.705 9.52
154 137 6.7288 0.8038 8.2046 0.5697 0.253 0.388 14.97
155 137 6.6195 0.7767 8.2385 0.5729 0.272 0.556 9.04
156 138 6.5637 0.8097 8.4305 0.5903 0.266 0.654 2.65
157 138 6.5667 0.8512 8.6476 0.5590 0.278 0.502 6.41
158 139 6.8118 0.8036 8.4728 0.5237 0.269 0.593 5.75
159 139 6.7812 0.8087 9.3188 0.5611 0.269 0.404 11.65
160 140 6.8452 0.8357 9.1673 0.6017 0.272 0.461 12.61
161 140 6.8990 0.8571 9.7498 0.6116 0.272 0.592 6.82
162 141 6.8796 0.8122 9.6335 0.6069 0.278 0.702 4.53
163 141 6.9131 0.8576 9.6646 0.5859 0.294 0.587 4.41
164 142 6.8182 0.9393 8.8805 0.6103 0.294 0.509 3.45
165 142 6.9842 0.8238 9.2668 0.6172 0.272 0.647 3.22
166 143 7.0245 0.8513 9.3063 0.5501 0.272 0.589 5.98
167 143 7.0051 0.8215 9.4215 0.6036 0.256 0.476 7.68
168 144 6.9545 0.8169 9.0453 0.6613 0.253 0.698 4.26
169 144 6.9385 0.7832 8.3342 0.5581 0.256 0.468 5.72
170 145 7.1165 0.8717 8.3683 0.6150 0.253 0.511 9.81
171 145 7.1755 0.8882 7.8506 0.5677 0.247 0.683 3.63
172 146 7.1142 0.8441 8.2923 0.6283 0.250 0.529 10.34
173 146 7.0349 0.8355 8.1041 0.5714 0.244 0.645 8.33
174 147 7.1196 0.8625 8.0689 0.5879 0.241 0.684 9.88
175 147 7.2087 0.8174 7.6930 0.6462 0.256 0.595 4.78
176 148 7.2257 0.7837 7.8269 0.6446 0.256 0.541 5.87
177 148 7.2076 0.8571 7.3352 0.6075 0.263 0.624 3.16
178 149 7.2173 0.8325 7.6328 0.6225 0.275 0.545 3.30
179 149 7.2398 0.8303 7.7147 0.5814 0.266 0.556 7.49
180 150 7.3444 0.7398 7.4310 0.6030 0.269 0.510 7.48
181 150 7.4142 0.8609 7.7190 0.6416 0.275 0.508 6.08
182 151 7.2812 0.8762 7.1070 0.6288 0.288 0.591 4.95
183 151 7.3784 0.8168 7.5700 0.6364 0.294 0.543 14.13
184 152 7.3972 0.7369 7.7060 0.6933 0.294 0.610 3.30
185 152 7.2968 0.7449 7.9992 0.6292 0.309 0.553 6.62
186 153 7.4903 0.8053 7.7894 0.6480 0.322 0.492 6.39
187 153 7.3912 0.7214 7.7179 0.6212 0.337 0.551 3.92
188 154 7.4645 0.8508 8.3726 0.6144 0.334 0.389 8.06
189 154 7.4164 0.8265 8.1087 0.6476 0.334 0.530 10.29
190 155 7.3488 0.7637 8.1413 0.6337 0.344 0.494 5.79
191 155 7.5909 0.8255 7.8501 0.6407 0.350 0.549 4.36
192 156 7.6564 0.8390 8.1237 0.6856 0.322 0.664 7.44
193 156 7.6426 0.8835 8.1048 0.6355 0.309 0.524 8.60
194 157 7.5490 0.8163 7.7842 0.6504 0.325 0.634 6.44
195 157 7.6814 0.7959 7.9817 0.6632 0.303 0.695 5.97
196 158 7.6111 0.7526 8.3395 0.6789 0.294 0.518 9.61
197 158 7.8484 0.8354 8.6189 0.6568 0.259 0.610 3.99
198 159 7.7663 0.8565 7.7610 0.6010 0.247 0.470 4.27
199 159 7.6564 0.8793 8.0045 0.6151 0.266 0.503 10.85
200 160 7.7937 0.7443 7.7721 0.6701 0.263 0.508 3.50
201 160 7.7220 0.8381 7.9010 0.6834 0.266 0.556 5.06
202 161 7.8446 0.8041 7.7752 0.6560 0.272 0.655 7.98
203 161 7.9601 0.7437 7.8940 0.6115 0.269 0.547 9.24
204 162 7.9192 0.7906 8.0856 0.6813 0.253 0.596 6.35
205 162 7.7710 0.7847 8.1266 0.7234 0.263 0.487 4.17
206 163 8.0168 0.7720 7.4895 0.7223 0.241 0.672 8.39
207 163 7.8952 0.7633 7.2575 0.6514 0.269 0.562 6.48
208 164 8.0911 0.8197 7.4290 0.6861 0.269 0.562 4.33
209 164 8.0546 0.7800 7.3424 0.6558 0.241 0.540 4.96
210 165 7.9572 0.7394 8.1200 0.7187 0.241 0.570 12.73
211 165 8.0319 0.7915 8.2239 0.6772 0.231 0.628 4.51
212 166 8.0826 0.8304 8.7572 0.7203 0.228 0.597 4.29
213 166 8.0297 0.7709 8.6488 0.6630 0.244 0.594 6.04
214 167 8.2121 0.7790 8.8069 0.7131 0.253 0.623 4.71
215 167 8.0390 0.7342 9.1622 0.6940 0.259 0.584 4.40
216 168 8.1549 0.8403 9.4587 0.6547 0.287 0.656 7.60
217 168 8.0931 0.7704 10.1405 0.6640 0.272 0.512 3.96
218 169 8.2016 0.9094 9.8754 0.6614 0.278 0.617 5.13
219 169 8.1613 0.8866 10.0098 0.6939 0.300 0.540 5.62
220 170 8.1892 0.9176 10.0616 0.6715 0.300 0.481 14.98
221 170 8.2443 0.7720 10.1427 0.6434 0.309 0.581 13.85
222 171 8.2416 0.8340 9.6311 0.7164 0.322 0.672 5.72
223 171 8.1526 0.6662 9.6627 0.7060 0.344 0.555 4.35
224 172 8.4567 0.8249 10.1630 0.6568 0.338 0.461 6.14
225 172 8.4959 0.8525 10.1246 0.7274 0.325 0.518 8.65
226 173 8.3840 0.7691 10.1517 0.6925 0.328 0.584 6.35
227 173 8.5218 0.8515 9.6132 0.7364 0.325 0.575 5.25
228 174 8.5137 0.7733 9.7483 0.7406 0.328 0.685 5.89
229 174 8.3437 0.8269 9.3264 0.7234 0.325 0.658 6.40
230 175 8.4089 0.8690 8.5848 0.7221 0.328 0.672 1.66
231 175 8.5475 0.8506 8.5755 0.7263 0.322 0.446 4.02
232 176 8.6702 0.8839 9.3675 0.7727 0.300 0.547 11.41
233 176 8.5672 0.7355 9.3343 0.7830 0.278 0.624 12.35
234 177 8.4082 0.8166 9.5253 0.7948 0.300 0.549 6.98
235 177 8.5737 0.8233 9.4659 0.7778 0.316 0.554 12.12
236 178 8.7193 0.8281 9.7153 0.7613 0.303 0.495 10.37
