it n time energy barrier aux reached lf_min al_max
171 145 32.3523 0.4595 5.0917 0.5677 0.438 0.539 13.94
172 146 31.5821 0.4934 5.2342 0.6283 0.438 0.527 8.84
173 146 31.6456 0.4747 5.1704 0.5714 0.444 0.671 10.24
174 147 33.5701 0.4663 5.2177 0.5879 0.456 0.595 7.33
175 147 32.6683 0.4985 5.1116 0.6462 0.459 0.638 10.70
176 148 34.0164 0.4963 5.2155 0.6446 0.463 0.638 8.05
177 148 32.5601 0.4922 4.7896 0.6075 0.466 0.649 9.09
178 149 31.9643 0.5021 4.7884 0.6225 0.463 0.618 6.16
179 149 32.0291 0.5013 4.9160 0.5814 0.466 0.583 9.56
180 150 32.6151 0.5004 4.7841 0.6030 0.463 0.611 9.15
181 150 35.7485 0.4987 4.8134 0.6416 0.469 0.678 10.37
182 151 32.6061 0.4914 4.5802 0.6288 0.478 0.651 7.65
183 151 36.0618 0.5020 4.8022 0.6364 0.478 0.604 7.71
184 152 33.5258 0.4923 4.8393 0.6933 0.469 0.536 10.78
185 152 31.9297 0.5068 5.0798 0.6292 0.491 0.380 6.55
186 153 31.8046 0.5280 5.0062 0.6480 0.503 0.576 10.31
187 153 31.1347 0.5351 5.0029 0.6212 0.534 0.619 6.35
188 154 32.5634 0.4941 5.2149 0.6144 0.556 0.452 11.67
189 154 32.9184 0.4989 5.0829 0.6476 0.556 0.546 10.92
190 155 33.7322 0.5149 5.1622 0.6337 0.572 0.487 11.53
191 155 36.0724 0.5354 5.0561 0.6407 0.566 0.546 9.71
192 156 34.9886 0.5071 5.2147 0.6856 0.528 0.498 9.94
193 156 35.0536 0.5030 5.2461 0.6355 0.516 0.598 11.04
194 157 32.8240 0.5282 5.1081 0.6504 0.519 0.641 9.67
195 157 34.6082 0.5203 5.1666 0.6632 0.475 0.369 9.45
196 158 33.5790 0.5376 5.3696 0.6789 0.428 0.532 6.34
197 158 35.7644 0.5260 5.6793 0.6568 0.388 0.427 10.24
198 159 34.8409 0.5276 5.4878 0.6010 0.353 0.607 14.79
199 159 34.1731 0.5430 5.5573 0.6151 0.366 0.614 8.18
200 160 33.9715 0.5456 5.3996 0.6701 0.356 0.623 12.59
201 160 34.3053 0.5457 5.4775 0.6834 0.366 0.524 11.59
202 161 32.8294 0.5649 5.3985 0.6560 0.403 0.650 9.85
203 161 33.0546 0.5585 5.5157 0.6115 0.431 0.561 7.18
204 162 32.9880 0.5876 5.7655 0.6813 0.434 0.609 12.38
205 162 31.8870 0.5835 5.7910 0.7234 0.475 0.423 7.43
206 163 36.3481 0.5941 5.5961 0.7223 0.500 0.483 9.56
207 163 34.9525 0.6078 5.5116 0.6514 0.525 0.593 9.31
208 164 35.5998 0.6205 5.7115 0.6861 0.559 0.611 9.86
209 164 37.8213 0.5909 5.8912 0.6558 0.562 0.367 7.29
210 165 36.7020 0.6082 6.3818 0.7187 0.566 0.570 7.10
211 165 36.7494 0.6086 6.6191 0.6772 0.559 0.350 7.48
212 166 36.2144 0.6108 7.0067 0.7203 0.550 0.471 9.12
