V alpha_deg Tr h feas
5.000 -7.00 78.7 16.033 1
5.000 -7.00 88.5 25.793 1
5.000 -7.00 98.3 35.553 1
5.000 -7.00 108.2 45.313 1
5.000 -7.00 118.0 55.073 1
5.000 -6.00 0.0 -61.438 0
5.000 -6.00 9.8 -51.659 0
5.000 -6.00 19.7 -41.880 0
5.000 -6.00 29.5 -32.100 0
5.000 -6.00 39.3 -22.321 0
5.000 -6.00 49.2 -12.541 0
5.000 -6.00 59.0 -2.762 0
5.000 -6.00 68.8 7.018 0
5.000 -6.00 78.7 16.797 1
5.000 -6.00 88.5 26.577 1
5.000 -6.00 98.3 36.356 1
5.000 -6.00 108.2 46.136 1
5.000 -6.00 118.0 55.915 1
5.000 -5.00 0.0 -60.829 0
5.000 -5.00 9.8 -51.034 0
5.000 -5.00 19.7 -41.238 0
5.000 -5.00 29.5 -31.442 0
5.000 -5.00 39.3 -21.646 0
5.000 -5.00 49.2 -11.850 0
5.000 -5.00 59.0 -2.054 0
5.000 -5.00 68.8 7.742 0
5.000 -5.00 78.7 17.538 1
5.000 -5.00 88.5 27.334 1
5.000 -5.00 98.3 37.130 1
5.000 -5.00 108.2 46.926 1
5.000 -5.00 118.0 56.722 1
5.000 -4.00 0.0 -60.220 0
5.000 -4.00 9.8 -50.411 0
5.000 -4.00 19.7 -40.602 0
5.000 -4.00 29.5 -30.792 0
5.000 -4.00 39.3 -20.983 0
5.000 -4.00 49.2 -11.174 0
5.000 -4.00 59.0 -1.364 0
5.000 -4.00 68.8 8.445 0
5.000 -4.00 78.7 18.255 1
5.000 -4.00 88.5 28.064 1
5.000 -4.00 98.3 37.873 1
5.000 -4.00 108.2 47.683 1
5.000 -4.00 118.0 57.492 1
5.000 -3.00 0.0 -59.611 0
5.000 -3.00 9.8 -49.792 0
5.000 -3.00 19.7 -39.972 0
5.000 -3.00 29.5 -30.152 0
5.000 -3.00 39.3 -20.332 0
5.000 -3.00 49.2 -10.512 0
5.000 -3.00 59.0 -0.692 0
5.000 -3.00 68.8 9.128 0
5.000 -3.00 78.7 18.947 1
5.000 -3.00 88.5 28.767 1
5.000 -3.00 98.3 38.587 1
5.000 -3.00 108.2 48.407 1
5.000 -3.00 118.0 58.227 1
5.000 -2.00 0.0 -59.002 0
5.000 -2.00 9.8 -49.175 0
5.000 -2.00 19.7 -39.348 0
5.000 -2.00 29.5 -29.520 0
5.000 -2.00 39.3 -19.693 0
5.000 -2.00 49.2 -9.866 0
5.000 -2.00 59.0 -0.038 0
5.000 -2.00 68.8 9.789 1
5.000 -2.00 78.7 19.616 1
5.000 -2.00 88.5 29.444 1
5.000 -2.00 98.3 39.271 1
5.000 -2.00 108.2 49.098 1
5.000 -2.00 118.0 58.926 1
5.000 -1.00 0.0 -58.393 0
5.000 -1.00 9.8 -48.562 0
5.000 -1.00 19.7 -38.730 0
5.000 -1.00 29.5 -28.898 0
5.000 -1.00 39.3 -19.066 0
5.000 -1.00 49.2 -9.234 0
5.000 -1.00 59.0 0.598 0
5.000 -1.00 68.8 10.429 1
5.000 -1.00 78.7 20.261 1
5.000 -1.00 88.5 30.093 1
5.000 -1.00 98.3 39.925 1
5.000 -1.00 108.2 49.757 1
5.000 -1.00 118.0 59.589 1
5.000 0.00 0.0 -57.784 0
5.000 0.00 9.8 -47.951 0
5.000 0.00 19.7 -38.118 0
5.000 0.00 29.5 -28.284 0
5.000 0.00 39.3 -18.451 0
5.000 0.00 49.2 -8.618 0
5.000 0.00 59.0 1.216 0
5.000 0.00 68.8 11.049 1
5.000 0.00 78.7 20.882 1
5.000 0.00 88.5 30.716 1
5.000 0.00 98.3 40.549 1
5.000 0.00 108.2 50.382 1
5.000 0.00 118.0 60.216 1
5.000 1.00 0.0 -57.419 0
5.000 1.00 9.8 -47.587 0
5.000 1.00 19.7 -37.755 0
5.000 1.00 29.5 -27.924 0
5.000 1.00 39.3 -18.092 0
5.000 1.00 49.2 -8.260 0
5.000 1.00 59.0 1.572 0
5.000 1.00 68.8 11.404 1
5.000 1.00 78.7 21.236 1
5.000 1.00 88.5 31.067 1
5.000 1.00 98.3 40.899 1
5.000 1.00 108.2 50.731 1
5.000 1.00 118.0 60.563 1
5.000 2.00 0.0 -57.054 0
5.000 2.00 9.8 -47.226 0
5.000 2.00 19.7 -37.399 0
5.000 2.00 29.5 -27.572 0
5.000 2.00 39.3 -17.744 0
5.000 2.00 49.2 -7.917 0
5.000 2.00 59.0 1.910 0
5.000 2.00 68.8 11.738 1
5.000 2.00 78.7 21.565 1
5.000 2.00 88.5 31.392 1
5.000 2.00 98.3 41.220 1
5.000 2.00 108.2 51.047 1
5.000 2.00 118.0 60.874 1
5.000 3.00 0.0 -56.688 0
5.000 3.00 9.8 -46.868 0
5.000 3.00 19.7 -37.049 0
5.000 3.00 29.5 -27.229 0
5.000 3.00 39.3 -17.409 0
5.000 3.00 49.2 -7.589 0
5.000 3.00 59.0 2.231 0
5.000 3.00 68.8 12.051 1
5.000 3.00 78.7 21.871 1
5.000 3.00 88.5 31.690 1
5.000 3.00 98.3 41.510 1
5.000 3.00 108.2 51.330 1
5.000 3.00 118.0 61.150 1
5.000 4.00 0.0 -56.323 0
5.000 4.00 9.8 -46.513 0
5.000 4.00 19.7 -36.704 0
5.000 4.00 29.5 -26.895 0
5.000 4.00 39.3 -17.085 0
5.000 4.00 49.2 -7.276 0
5.000 4.00 59.0 2.533 0
5.000 4.00 68.8 12.343 0
5.000 4.00 78.7 22.152 1
5.000 4.00 88.5 31.962 1
5.000 4.00 98.3 41.771 1
5.000 4.00 108.2 51.580 1
5.000 4.00 118.0 61.390 1
5.000 5.00 0.0 -55.957 0
